2655570.80616,2831166.68172,3119191.0682,3439522.9922,2918225.26739,3368981.1027,4177894.29579,4070894.69892,5125546.73687,5139239.9978,5042546.33944,5030097.82951,6419872.83281,5043127.22324,5544116.01045,5862414.34124,5804891.84746,6365524.70407,5017926.26419,5902681.28664,5409935.85051,6263570.09805,6045412.73607,5762490.32904,6004320.95566,6017054.40858,6171680.47873
2645174.88566,2814029.10975,2913072.29814,3221074.68842,2881416.63022,3258486.20499,3983824.11565,4016428.59377,5012877.27414,5061725.50303,4972313.38813,4902881.27664,5098012.24459,4942149.42183,5402969.24404,5559314.9702,5339393.961,5382966.24524,4861748.50443,5772591.30854,5357231.39298,6137770.26179,5756095.60817,5686105.60827,5870502.72332,5546672.49908,5606694.49288
2235241.88456,2681638.59182,2810730.76951,3137273.45118,2856301.65397,3240298.84301,3776601.56637,3915150.85236,4619113.0388,4961289.59322,4927506.35088,4826340.58707,5076340.57957,4819290.9972,5201553.53323,5130921.66172,5222261.39103,5222299.38343,4841169.62082,5560240.78501,5300286.78361,5786898.44668,5669762.87731,5464057.02465,5728207.18669,5477430.34959,5430498.73732
1950338.87371,2681547.61002,2791772.56172,2995696.77076,2808747.16629,2975234.86376,3561763.54042,3807996.28649,4576121.63837,4953214.20854,4911717.50913,4810981.65932,4552568.34973,4759664.92421,4982086.43323,4966061.63867,5098630.121,5167989.24709,4769210.0149,5405501.73747,5216353.57277,5119307.9848,5634775.87576,5415734.69057,5491855.46413,5472017.43233,5380133.81181
1926174.70727,2637003.52018,2783957.12505,2963981.11485,2803113.29324,2970237.86331,3509135.0677,3433185.25994,4555566.74996,4745714.71467,4836737.50738,4665930.67387,4313360.19854,4598110.23999,4593170.22814,4808691.1175,5072865.27474,5133809.08415,4710268.80491,5369451.94851,5151546.53613,5101991.44863,5411781.48133,5372493.34014,5218668.1098,5443126.21144,5298263.18839
1912911.36033,2636607.59937,2781163.68382,2946970.51748,2788044.30749,2886260.66127,3495126.86976,3389576.9829,4538604.143,4708889.0809,4833241.20674,4543797.10425,4222095.45423,4519330.9982,4428049.25729,4544274.00885,5011276.59432,5029700.90891,4681881.48323,5296410.55897,4986887.47288,4981711.50823,5406485.54068,5308944.0519,5106010.64467,5210340.77551,5273291.18354
1778640.21859,2512329.45873,2727116.49488,2926249.66227,2777539.40878,2791863.54352,3492891.31694,3379297.0392,4497633.33839,4688623.1347,4795372.78156,4496907.48358,4186233.62767,4375281.81236,4407129.44188,4501003.66422,4919357.9808,4813107.23414,4637032.45438,4850371.78011,4948840.0835,4925210.81006,5354916.85596,5275248.79196,5095657.71557,5188580.1283,5243290.18464
1750792.78891,2511831.55832,2708815.15569,2916560.60037,2774723.97195,2685505.81826,3434346.02775,3306925.51568,4487425.38028,4491410.58312,4635578.74517,4402988.27024,4058665.14519,4374983.87196,4404078.05225,4298071.25679,4907818.28909,4784515.95325,4591156.63092,4829748.90531,4686317.59587,4869436.9665,5301662.50843,5229599.92311,5020200.80921,5070576.73252,5231712.50053
1747732.40108,2498121.30079,2701051.70862,2894533.00655,2697056.50778,2668089.30209,3424730.95105,3304843.93206,4390053.85751,4420095.84821,4446581.55027,4294372.99655,4035346.80956,4330997.67052,4390341.79991,4270665.73872,4745531.75126,4716753.50778,4574501.96235,4734049.04815,4664540.95185,4813485.15854,5241660.51063,5133374.17114,4932292.39353,4971456.55952,5200409.76201
1674620.02575,2478356.25439,2662260.46803,2805350.84566,2685075.90426,2662504.41923,3398868.1244,3276722.55717,4388369.19449,4323497.17084,4430586.74971,4289564.9583,4018549.16959,4326335.60307,4350961.67712,4267541.36368,4562580.34703,4668292.20149,4470864.69292,4717727.31299,4634555.94975,4808906.0745,5159220.0012,5069680.91171,4888801.0931,4958420.16719,5193875.06915
